#Phi [deg]	U/V-90	Fehler Phi	Fehler U
0	9.5	1	0.02
10	9.34 	1	0.02
20	8.55	1	0.02
30	7.59	1	0.02
40	6.23	1	0.02
50	4.82	1	0.02
60	3.44	1	0.02
70	2.33	1	0.02
80	1.62	1	0.02
90	1.4	1	0.02
100	1.69	1	0.02
110	2.39	1	0.02
120	3.49	1	0.02
130	4.88	1	0.02
140	6.26	1	0.02
150	7.56	1	0.02
160	8.63	1	0.02
170	9.31	1	0.02
180	9.5	1	0.02
-180	9.55	1	0.02
-170	9.4	1	0.02
-160	8.72	1	0.02
-150	7.63	1	0.02
-140	6.34	1	0.02
-130	4.83	1	0.02
-120	3.5	1	0.02
-110	2.39	1	0.02
-100	1.66	1	0.02
-90	1.4	1	0.02
-80	1.65	1	0.02
-70	2.37	1	0.02
-60	3.53	1	0.02
-50	4.85	1	0.02
-40	6.26	1	0.02
-30	7.6	1	0.02
-20	8.65	1	0.02
-10	9.371	1	0.02
