#T_0/K	T/K	T⁴-T⁴_0	U_W/mV	PHI/F_W	T/K	T⁴-T⁴_0/K⁴	U_S/mV	PHI/F_S	T/K	T⁴-T⁴_0	U_St/mV	PHI/F_St	T/K	T⁴-T⁴_0/K⁴	U_pol/mV	PHI/F_pol	DeltaU/mv	D Strahlung
295,15	322,15	3181651804,1295	34,34	0,0118413793	323,15	3316007487,618	33,8	0,0116551724	322,15	3181651804,1295	13,96	0,0048137931	322,15	3181651804,1295	6,29	0,0021689655	0,05	0,0001724138
295,15	340,15	5798192208,2325	66,27	0,0228517241	341,15	5956311953,781	65,2	0,0224827586	340,15	5798192208,2325	26,19	0,0090310345	341,15	5956311953,781	11,92	0,0041103448	0,05	0,0001724138
295,15	349,15	7272239375,889	82,16	0,0283310345	350,15	7443225739,8675	81,55	0,0281206897	348,15	7102715882,5805	32,08	0,011062069	350,15	7443225739,8675	13,6	0,0046896552	0,05	0,0001724138
295,15	361,15	9423042365,451	102,8	0,0354482759	361,15	9423042365,451	102,37	0,0353	359,15	9049324729,824	40,45	0,0139482759	361,15	9423042365,451	16,4	0,0056551724	0,05	0,0001724138
295,15	355,15	8320395165,81	92,34	0,0318413793	356,15	8500335817,4085	92,76	0,0319862069	354,15	8141968094,4815	36,01	0,0124172414	356,15	8500335817,4085	14,08	0,0048551724	0,05	0,0001724138
295,15	324,15	3451616284,1765	39,38	0,0135793103	325,15	3588485961,405	38,3	0,0132068966	324,15	3451616284,1765	15,83	0,0054586207	324,15	3451616284,1765	8,02	0,0027655172	0,05	0,0001724138
295,15	318,15	2656605688,8755	30,81	0,0106241379	319,15	2786026116,084	30,29	0,0104448276	286,09	-889754494,078364	12,94	0,004462069	318,15	2656605688,8755	6,27	0,002162069	0,05	0,0001724138
295,15	312,15	1905324476,0945	22,76	0,0078482759	313,15	2027570966,883	22,86	0,0078827586	312,15	1905324476,0945	9,7	0,0033448276	313,15	2027570966,883	2,06	0,0007103448	0,05	0,0001724138
295,15	309,15	1545570630,149	17,98	0,0062	309,15	1545570630,149	17,39	0,0059965517	309,15	1545570630,149	7,92	0,0027310345	309,15	1545570630,149	4,48	0,0015448276	0,05	0,0001724138
295,15	305,15	1081920960,135	13,36	0,0046068966	305,15	1081920960,135	13,19	0,0045482759	305,15	1081920960,135	6,68	0,0023034483	305,15	1081920960,135	3,83	0,0013206897	0,05	0,0001724138
