#T_0/K	T/K	T⁴-T⁴_0/K⁴	U_pol/mV	PHI/F_W	DeltaU/mv	D Strahlung
295.15	322.15	3181651804.1295	6.29	2.1689655172	0.05	0.1724137931
295.15	341.15	5956311953.781	11.92	4.1103448276	0.05	0.1724137931
295.15	350.15	7443225739.8675	13.6	4.6896551724	0.05	0.1724137931
295.15	361.15	9423042365.451	16.4	5.6551724138	0.05	0.1724137931
295.15	356.15	8500335817.4085	14.08	4.8551724138	0.05	0.1724137931
295.15	324.15	3451616284.1765	8.02	2.7655172414	0.05	0.1724137931
295.15	318.15	2656605688.8755	6.27	2.1620689655	0.05	0.1724137931
295.15	313.15	2027570966.883	2.06	0.7103448276	0.05	0.1724137931
295.15	309.15	1545570630.149	4.48	1.5448275862	0.05	0.1724137931
295.15	305.15	1081920960.135	3.83	1.3206896552	0.05	0.1724137931
