#T_0/K	T/K	T⁴-T⁴_0	U_W/mV	PHI/F_W	DeltaU/mv	D Strahlung
295.15	322.15	3181651804.1295	34.34	0.0118413793	0.05	0.0001724138
295.15	340.15	5798192208.2325	66.27	0.0228517241	0.05	0.0001724138
295.15	349.15	7272239375.889	82.16	0.0283310345	0.05	0.0001724138
295.15	361.15	9423042365.451	102.8	0.0354482759	0.05	0.0001724138
295.15	355.15	8320395165.81	92.34	0.0318413793	0.05	0.0001724138
295.15	324.15	3451616284.1765	39.38	0.0135793103	0.05	0.0001724138
295.15	318.15	2656605688.8755	30.81	0.0106241379	0.05	0.0001724138
295.15	312.15	1905324476.0945	22.76	0.0078482759	0.05	0.0001724138
295.15	309.15	1545570630.149	17.98	0.0062	0.05	0.0001724138
295.15	305.15	1081920960.135	13.36	0.0046068966	0.05	0.0001724138
